team_a,team_b,rivalry_name,first_meeting,latest_meeting,meetings,source,source_type,verification_status
Iowa,Iowa State,Cy-Hawk Trophy,1894,2023,70,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Iowa,Minnesota,Iowa-Minnesota (Floyd of Rosedale),1891,2023,117,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Iowa,Nebraska,Iowa-Nebraska (Heroes Trophy),1891,2023,54,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Iowa,Wisconsin,Iowa-Wisconsin (Heartland Trophy),1894,2023,97,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Iowa State,Missouri,Iowa State-Missouri (Telephone Trophy),1896,2011,104,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Kansas,Nebraska,Kansas-Nebraska,1892,2010,117,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Kansas State,Nebraska,Kansas State-Nebraska,1911,2010,95,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Texas,Texas A&M,Texas-Texas A&M (Lone Star Showdown),1894,2025,120,https://en.wikipedia.org/wiki/Texas%E2%80%93Texas_A%26M_football_rivalry,wikipedia_dedicated_article,confirmed_via_dedicated_article_no_table_row
Texas A&M,Texas Tech,Texas A&M-Texas Tech,1927,2023,70,https://en.wikipedia.org/wiki/List_of_college_rivalries_in_the_United_States,wikipedia_dedicated_article,confirmed_via_dedicated_article_no_table_row
Rutgers,Connecticut,Rutgers-Connecticut,2003,2013,10,https://en.wikipedia.org/wiki/List_of_college_rivalries_in_the_United_States,wikipedia_dedicated_article,confirmed_via_dedicated_article_no_table_row
Pittsburgh,Cincinnati,Pittsburgh-Cincinnati,2005,2023,15,https://en.wikipedia.org/wiki/List_of_college_rivalries_in_the_United_States,wikipedia_dedicated_article,confirmed_via_dedicated_article_no_table_row
