id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,_source,_retrieval_date,_endpoint,_schema_version
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,False,True,False,True,41064,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,30,"[2, 14, 14, 0]",0.4056606386617034,1392,1411,158,Nebraska,fbs,Big Ten,22,"[0, 9, 7, 6]",0.5943393613382966,1503,1484,5.4859812562,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,False,True,False,False,26043,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,45,"[7, 24, 7, 7]",0.9989676192140482,1465,1566,41,UConn,fbs,FBS Independents,0,"[0, 0, 0, 0]",0.001032380785951803,1223,1122,1.5355562765,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,False,True,False,False,32982,1056,Rose Bowl,26,UCLA,fbs,Pac-12,44,"[24, 7, 13, 0]",0.998923796291393,1517,1605,62,Hawai'i,fbs,Mountain West,10,"[3, 0, 7, 0]",0.0010762037086069487,1466,1378,1.3911846797,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,False,True,False,False,19034,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,3,"[0, 3, 0, 0]",0.0003672266073629033,1261,1182,2638,UTEP,fbs,Conference USA,30,"[17, 3, 10, 0]",0.9996327733926371,1222,1301,1.7024199439,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,False,True,False,False,16204,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,45,"[21, 17, 7, 0]",0.9989556844495414,,,253,Southern Utah,fcs,Big Sky,14,"[0, 14, 0, 0]",0.0010443155504585855,,,1.2255180894,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,False,True,True,False,9122,3689,Cramton Bowl,55,Jacksonville State,fcs,AWC,0,"[0, 0, 0, 0]",0.0003023172538635826,,,5,UAB,fbs,Conference USA,31,"[0, 10, 14, 7]",0.9996976827461365,,,2.1316123178,,Montgomery Kickoff,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,16236,3654,Brooks Stadium (SC),324,Coastal Carolina,fbs,Sun Belt,52,"[7, 24, 14, 7]",0.9989646936333476,,,2643,The Citadel,fcs,Southern,14,"[0, 0, 7, 7]",0.0010353063666523887,,,1.189259394,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,43928,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,36,"[0, 14, 14, 8]",0.9342124591737911,1648,1651,68,Boise State,fbs,Mountain West,31,"[14, 10, 0, 7]",0.06578754082620886,1602,1599,10.2014008911,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401309540,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,13149,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,31,"[7, 0, 14, 10]",0.9215833962326455,,,2710,Western Illinois,fcs,MVFC,21,"[0, 7, 7, 7]",0.07841660376735449,,,2.0262390412,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,False,True,False,False,17521,3965,UB Stadium,2084,Buffalo,fbs,Mid-American,69,"[14, 24, 21, 10]",0.9983755574946217,,,2681,Wagner,fcs,NEC,7,"[0, 0, 0, 7]",0.0016244425053782985,,,1.0306190592,,,,CollegeFootballData.com API,2026-08-31T17:36:52.108062+00:00,/games,1.3
