id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,_source,_retrieval_date,_endpoint,_schema_version
401110723,2019,1,regular,2019-08-24T23:00:00.000Z,False,True,True,False,66543,4013,Camping World Stadium,57,Florida,fbs,SEC,24,"[7, 0, 10, 7]",0.9059534582132265,1683,1688,2390,Miami,fbs,ACC,20,"[3, 10, 0, 7]",0.09404654178677352,1611,1606,8.7679102419,https://www.youtube.com/watch?v=WeJi4p0jqXA,CAMPING WORLD KICKOFF,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401114164,2019,1,regular,2019-08-25T02:30:00.000Z,False,True,False,False,22396,3610,Aloha Stadium,62,Hawai'i,fbs,Mountain West,45,"[14, 14, 7, 10]",0.6886295726282241,1281,1302,12,Arizona,fbs,Pac-12,38,"[0, 21, 14, 3]",0.3113704273717759,1467,1446,7.84241686779999,https://www.youtube.com/watch?v=eJI8vkRqz0o,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401117854,2019,1,regular,2019-08-29T23:00:00.000Z,False,True,False,False,38032,3854,Nippert Stadium,2132,Cincinnati,fbs,American Athletic,24,"[7, 3, 7, 7]",0.9968294673908809,1625,1629,26,UCLA,fbs,Pac-12,14,"[0, 7, 7, 0]",0.0031705326091191477,1431,1427,5.4986821262,https://www.youtube.com/watch?v=Y9XAYpeOi0I,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401119255,2019,1,regular,2019-08-29T23:00:00.000Z,False,True,False,False,18412,3965,UB Stadium,2084,Buffalo,fbs,Mid-American,38,"[21, 7, 10, 0]",0.9997880630567496,,,2523,Robert Morris,fcs,NEC,10,"[7, 3, 0, 0]",0.00021193694325039036,,,0.1185875019,,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401117855,2019,1,regular,2019-08-29T23:00:00.000Z,False,True,False,False,19648,3892,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,24,"[7, 3, 14, 0]",0.7289421137835537,,,2681,Wagner,fcs,NEC,21,"[0, 0, 14, 7]",0.27105788621644633,,,1.83435076049999,https://www.youtube.com/watch?v=qkIibi3TYF8,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401119254,2019,1,regular,2019-08-29T23:00:00.000Z,False,True,False,False,17620,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,46,"[13, 17, 7, 9]",0.9999785280584667,,,2415,Morgan State,fcs,MEAC,3,"[0, 3, 0, 0]",2.1471941533346417e-05,,,0.4729679719,,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401135910,2019,1,regular,2019-08-29T23:30:00.000Z,False,True,False,False,16119,4418,Jerry Richardson Stadium,2429,Charlotte,fbs,Conference USA,49,"[7, 28, 7, 7]",0.9992560144881203,,,2241,Gardner-Webb,fcs,Big South,28,"[0, 14, 7, 7]",0.0007439855118797079,,,0.4428072342,,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401117853,2019,1,regular,2019-08-29T23:30:00.000Z,False,True,False,False,44073,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,62,"[17, 31, 7, 7]",0.9999957343184567,,,50,Florida A&M,fcs,MEAC,0,"[0, 0, 0, 0]",4.265681543325073e-06,,,0.0275892598999993,https://www.youtube.com/watch?v=JMjct2NYZSc,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401114246,2019,1,regular,2019-08-29T23:30:00.000Z,False,True,False,False,17120,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,28,"[14, 7, 7, 0]",0.0861674673352279,,,2110,Central Arkansas,fcs,Southland,35,"[0, 14, 0, 21]",0.913832532664772,,,4.1608351506,https://www.youtube.com/watch?v=dgeUCVz-0hA,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
401114236,2019,1,regular,2019-08-30T00:00:00.000Z,False,True,False,False,16361,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,42,"[7, 21, 14, 0]",0.9996684962055076,1451,1527,2229,Florida International,fbs,Conference USA,14,"[0, 7, 7, 0]",0.00033150379449242706,1471,1395,1.52850182699999,https://www.youtube.com/watch?v=VIvyR9Zwhfk,,,CollegeFootballData.com API,2026-08-31T17:35:08.591776+00:00,/games,1.3
