id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,_source,_retrieval_date,_endpoint,_schema_version
400548403,2014,1,regular,2014-08-27T23:00:00.000Z,False,True,True,False,10140,3495,Georgia Dome,2247,Georgia State,fbs,Sun Belt,38,"[7, 14, 0, 17]",0.7040558473410293,,,2000,Abilene Christian,fcs,Southland,37,"[3, 13, 14, 7]",0.29594415265897067,,,9.07877961509999,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400548402,2014,1,regular,2014-08-28T22:00:00.000Z,False,True,False,True,82847,3994,Williams-Brice Stadium,2579,South Carolina,fbs,SEC,28,"[7, 7, 14, 0]",0.005651845193381177,1863,1787,245,Texas A&M,fbs,SEC,52,"[10, 21, 14, 7]",0.9943481548066189,1765,1841,3.5531582091,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400547829,2014,1,regular,2014-08-28T23:00:00.000Z,False,True,False,False,21003,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,17,"[0, 0, 10, 7]",0.9897190482041446,1304,1318,154,Wake Forest,fbs,ACC,10,"[7, 3, 0, 0]",0.01028095179585542,1377,1363,6.45099184669999,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400548090,2014,1,regular,2014-08-28T23:00:00.000Z,False,True,False,False,9104,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,41,"[21, 0, 13, 7]",0.9999808191061406,,,47,Howard,fcs,MEAC,0,"[0, 0, 0, 0]",1.918089385943844e-05,,,0.3205177698,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400548091,2014,1,regular,2014-08-28T23:00:00.000Z,False,True,False,False,12398,3764,Huskie Stadium,2459,Northern Illinois,fbs,Mid-American,55,"[17, 17, 21, 0]",0.9999794290349522,,,2506,Presbyterian,fcs,Big South,3,"[0, 0, 3, 0]",2.057096504781697e-05,,,0.105036553899999,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400548092,2014,1,regular,2014-08-28T23:00:00.000Z,False,True,False,False,15793,3786,Kelly/Shorts Stadium,2117,Central Michigan,fbs,Mid-American,20,"[0, 7, 13, 0]",0.9903185288801162,,,236,Chattanooga,fcs,Southern,16,"[3, 13, 0, 0]",0.009681471119883822,,,5.7886499469,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400547960,2014,1,regular,2014-08-28T23:00:00.000Z,False,True,False,False,0,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,42,"[7, 7, 7, 21]",0.9087074786456913,,,2197,Eastern Illinois,fcs,OVC,20,"[0, 0, 0, 20]",0.09129252135430865,,,3.08472996929999,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400548256,2014,1,regular,2014-08-28T23:30:00.000Z,False,True,False,False,45925,587,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,56,"[14, 21, 14, 7]",0.9998468251641687,,,304,Idaho State,fcs,Big Sky,14,"[7, 0, 7, 0]",0.00015317483583132674,,,0.0989172586999997,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400547647,2014,1,regular,2014-08-29T00:00:00.000Z,False,True,False,True,19032,3674,Chapman Stadium,202,Tulsa,fbs,American Athletic,38,"[0, 14, 3, 11, 3, 7]",0.632972613107618,1345,1356,2655,Tulane,fbs,American Athletic,31,"[7, 14, 0, 7, 3, 0]",0.367027386892382,1374,1363,9.36000716619999,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
400548404,2014,1,regular,2014-08-29T00:00:00.000Z,False,True,False,False,13772,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Sun Belt,28,"[7, 7, 7, 7]",0.9841450076778355,,,13,Cal Poly,fcs,Big Sky,10,"[7, 3, 0, 0]",0.015854992322164474,,,4.4663683112,,,,CollegeFootballData.com API,2026-08-31T17:31:53.147673+00:00,/games,1.3
