id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,_source,_retrieval_date,_endpoint,_schema_version
401756846,2025,1,regular,2025-08-23T16:00:00.000Z,False,True,True,True,47221,3504,Aviva Stadium,2306,Kansas State,fbs,Big 12,21,"[0, 7, 0, 14]",0.20154441893100739,1669,1666,66,Iowa State,fbs,Big 12,24,"[7, 0, 7, 10]",0.7984555810689926,1616,1619,6.029094160739601,,Aer Lingus College Football Classic,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401760371,2025,1,regular,2025-08-23T20:00:00.000Z,False,True,False,False,25723,6501,Allegiant Stadium,2439,UNLV,fbs,Mountain West,38,"[0, 14, 10, 14]",0.9787868857383728,,,304,Idaho State,fcs,Big Sky,31,"[10, 7, 7, 7]",0.021213114261627197,,,9.598561710191433,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401756847,2025,1,regular,2025-08-23T22:30:00.000Z,False,True,False,False,41525,3833,Memorial Stadium,2305,Kansas,fbs,Big 12,31,"[14, 10, 7, 0]",1,1583,1632,278,Fresno State,fbs,Mountain West,7,"[7, 0, 0, 0]",0,1490,1441,3.7830408481663227,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401757218,2025,1,regular,2025-08-23T23:00:00.000Z,False,True,False,True,15312,3796,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,41,"[7, 13, 14, 7]",0.8728970289230347,1409,1450,2534,Sam Houston,fbs,Conference USA,24,"[3, 7, 14, 0]",0.12710297107696533,1452,1411,6.04146368507938,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401754516,2025,1,regular,2025-08-23T23:30:00.000Z,False,True,False,False,15194,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,23,"[7, 7, 3, 6]",0.41016319394111633,1257,1258,24,Stanford,fbs,ACC,20,"[10, 3, 0, 7]",0.5898368060588837,1283,1282,7.307567862447438,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401762522,2025,1,regular,2025-08-28T21:30:00.000Z,False,True,False,False,34707,3886,Raymond James Stadium,58,South Florida,fbs,American Athletic,34,"[0, 10, 14, 10]",0.9718407988548279,1456,1554,68,Boise State,fbs,Mountain West,7,"[7, 0, 0, 0]",0.02815920114517212,1676,1578,5.137221554324761,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401762790,2025,1,regular,2025-08-28T22:00:00.000Z,False,True,False,False,19328,3700,Doyt L. Perry Stadium,189,Bowling Green,fbs,Mid-American,26,"[7, 10, 6, 3]",1,1461,1461,322,Lafayette,fcs,Patriot,7,"[0, 0, 7, 0]",0,,,2.717791924914604,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401752794,2025,1,regular,2025-08-28T22:00:00.000Z,False,True,False,False,46907,6577,SHI Stadium,164,Rutgers,fbs,Big Ten,34,"[7, 24, 0, 3]",0.9000661373138428,1522,1524,195,Ohio,fbs,Mid-American,31,"[7, 10, 14, 0]",0.09993386268615723,1621,1619,6.943864856309906,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401762789,2025,1,regular,2025-08-28T23:00:00.000Z,False,True,False,False,9138,3768,InfoCision Stadium,2006,Akron,fbs,Mid-American,0,"[0, 0, 0, 0]",0.10256508737802505,1245,1235,2751,Wyoming,fbs,Mountain West,10,"[0, 3, 0, 7]",0.897434912621975,1367,1377,4.853832638856986,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401761588,2025,1,regular,2025-08-28T23:00:00.000Z,False,True,False,False,12459,3817,Malone Stadium,2433,UL Monroe,fbs,Sun Belt,29,"[7, 3, 7, 12]",0.9948040246963501,1281,1281,2598,Saint Francis,fcs,NEC,0,"[0, 0, 0, 0]",0.005195975303649902,,,3.5420324150475073,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401757219,2025,1,regular,2025-08-28T23:00:00.000Z,False,True,False,False,17895,3695,Delaware Stadium,48,Delaware,fbs,Conference USA,35,"[0, 14, 7, 14]",0.948571503162384,1500,1500,2169,Delaware State,fcs,MEAC,17,"[0, 3, 7, 7]",0.05142849683761597,,,4.477316433427869,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401756848,2025,1,regular,2025-08-28T23:00:00.000Z,False,True,False,False,43043,3652,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,17,"[0, 0, 3, 14]",0.9146236181259155,1538,1554,55,Jacksonville State,fbs,Conference USA,10,"[0, 0, 3, 7]",0.08537638187408447,1650,1634,7.405744591220826,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401754373,2025,1,regular,2025-08-28T23:00:00.000Z,False,True,False,False,56919,3670,Carter-Finley Stadium,152,NC State,fbs,ACC,24,"[3, 14, 7, 0]",0.7480055689811707,1501,1507,151,East Carolina,fbs,American Athletic,17,"[0, 7, 0, 10]",0.25199443101882935,1435,1429,4.6509769467251365,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401754517,2025,1,regular,2025-08-28T23:30:00.000Z,False,True,False,False,15677,3982,Wallace Wade Stadium,150,Duke,fbs,ACC,45,"[3, 7, 14, 21]",0.9597823023796082,1526,1526,2210,Elon,fcs,Coastal Athletic,17,"[0, 10, 0, 7]",0.040217697620391846,,,5.767314867159874,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
401752674,2025,1,regular,2025-08-28T23:30:00.000Z,False,True,False,False,57321,3838,Memorial Stadium,142,Missouri,fbs,SEC,61,"[9, 17, 14, 21]",0.9923890829086304,1640,1640,2110,Central Arkansas,fcs,UAC,6,"[0, 0, 0, 6]",0.007610917091369629,,,3.2619476923306743,,,,CollegeFootballData.com API,2026-08-31T17:39:28.915688+00:00,/games,1.3
