id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,_source,_retrieval_date,_endpoint,_schema_version
400763593,2015,1,regular,2015-09-03T22:00:00.000Z,False,True,False,False,39184,3652,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,14,"[7, 7, 0, 0]",0.10131731322441452,1626,1609,2229,Florida International,fbs,Conference USA,15,"[3, 0, 6, 6]",0.8986826867755855,1321,1338,5.3903379073,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400603840,2015,1,regular,2015-09-03T22:00:00.000Z,False,True,True,False,51664,3628,Bank of America Stadium,2579,South Carolina,fbs,SEC,17,"[0, 10, 0, 7]",0.32245932505239777,1646,1646,153,North Carolina,fbs,ACC,13,"[7, 6, 0, 0]",0.6775406749476023,1477,1477,7.94978585869999,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400787299,2015,1,regular,2015-09-03T23:00:00.000Z,False,True,False,False,10473,3919,Scheumann Stadium,2050,Ball State,fbs,Mid-American,48,"[3, 17, 14, 14]",0.5333798288849951,,,2678,VMI,fcs,Southern,36,"[0, 10, 7, 19]",0.46662017111500487,,,4.7380781049,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400756896,2015,1,regular,2015-09-03T23:00:00.000Z,False,True,False,False,27126,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,41,"[3, 21, 14, 3]",0.9999861779726812,,,2210,Elon,fcs,CAA,3,"[0, 0, 3, 0]",1.3822027318810548e-05,,,2.0872957646,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400763399,2015,1,regular,2015-09-03T23:00:00.000Z,False,True,False,False,19717,3786,Kelly/Shorts Stadium,2117,Central Michigan,fbs,Mid-American,13,"[3, 3, 7, 0]",0.08629501978357867,1417,1407,197,Oklahoma State,fbs,Big 12,24,"[3, 7, 7, 7]",0.9137049802164213,1567,1577,3.1885406359,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400756895,2015,1,regular,2015-09-03T23:30:00.000Z,False,True,False,False,49196,721,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,69,"[34, 14, 14, 7]",0.9999971059852482,,,2016,Alcorn State,fcs,SWAC,6,"[0, 0, 6, 0]",2.8940147518419224e-06,,,1.04662376849999,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400764854,2015,1,regular,2015-09-03T23:30:00.000Z,False,True,False,False,26113,3892,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,20,"[6, 0, 7, 7]",0.9751954499165597,,,222,Villanova,fcs,CAA,15,"[0, 9, 0, 6]",0.02480455008344029,,,6.3109494228,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400603839,2015,1,regular,2015-09-04T00:00:00.000Z,False,True,False,False,30307,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,12,"[0, 3, 0, 9]",0.6903780159152395,1365,1371,98,Western Kentucky,fbs,Conference USA,14,"[0, 0, 7, 7]",0.3096219840847605,1521,1515,5.6575509609,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400756883,2015,1,regular,2015-09-04T00:30:00.000Z,False,True,False,False,47825,587,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,24,"[3, 7, 7, 7]",0.9017524508885089,1603,1610,130,Michigan,fbs,Big Ten,17,"[0, 3, 7, 7]",0.09824754911149114,1553,1546,4.6176711164,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400763398,2015,1,regular,2015-09-04T01:00:00.000Z,False,True,False,False,54147,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,17,"[0, 3, 7, 7]",0.07837070413274612,1633,1645,2628,TCU,fbs,Big 12,23,"[10, 0, 10, 3]",0.9216292958672538,1963,1951,2.7537930284,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400787110,2015,1,regular,2015-09-04T01:00:00.000Z,False,True,False,False,21209,3905,Maverik Stadium,328,Utah State,fbs,Mountain West,12,"[5, 0, 0, 7]",0.29176428020527856,,,253,Southern Utah,fcs,Big Sky,9,"[6, 3, 0, 0]",0.7082357197947214,,,8.8452949667,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400787302,2015,1,regular,2015-09-04T01:00:00.000Z,False,True,False,False,11587,3791,Kibbie Dome,70,Idaho,fbs,Sun Belt,28,"[3, 10, 0, 15]",0.005922595239181424,1167,1142,195,Ohio,fbs,Mid-American,45,"[21, 7, 3, 14]",0.9940774047608186,1321,1346,4.9746849037,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400756894,2015,1,regular,2015-09-04T01:30:00.000Z,False,True,False,False,25470,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,7,"[0, 0, 0, 7]",0.005530112651445365,1311,1259,150,Duke,fbs,ACC,37,"[3, 10, 3, 21]",0.9944698873485547,1572,1624,2.7582590138,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400756882,2015,1,regular,2015-09-04T02:00:00.000Z,False,True,False,False,51111,3619,Arizona Stadium,12,Arizona,fbs,Pac-12,42,"[14, 7, 14, 7]",0.15371950284735622,1649,1642,2636,UTSA,fbs,Conference USA,32,"[0, 20, 6, 6]",0.8462804971526438,1294,1301,1.45698808729999,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400799923,2015,1,regular,2015-09-04T02:00:00.000Z,False,True,False,False,32547,3660,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,34,"[14, 7, 10, 3]",0.9879852752659197,,,2000,Abilene Christian,fcs,Southland,13,"[7, 0, 0, 6]",0.012014724734080273,,,3.63336776399999,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400787109,2015,1,regular,2015-09-04T02:00:00.000Z,False,True,False,False,15198,3935,CEFCU Stadium,23,San José State,fbs,Mountain West,43,"[20, 6, 10, 7]",0.9992858856570889,,,160,New Hampshire,fcs,CAA,13,"[0, 7, 0, 6]",0.0007141143429111318,,,2.0077161215,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400787108,2015,1,regular,2015-09-04T02:00:00.000Z,False,True,False,False,21483,3816,Mackay Stadium,2440,Nevada,fbs,Mountain West,31,"[7, 14, 3, 7]",0.9974701755161006,,,302,UC Davis,fcs,Big Sky,17,"[0, 3, 0, 14]",0.002529824483899379,,,2.4004603686,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400787107,2015,1,regular,2015-09-04T05:00:00.000Z,False,True,False,False,24255,3610,Aloha Stadium,62,Hawai'i,fbs,Mountain West,28,"[8, 10, 7, 3]",0.78293813326226,1347,1360,38,Colorado,fbs,Pac-12,20,"[0, 14, 3, 3]",0.21706186673774003,1357,1344,,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400763587,2015,1,regular,2015-09-04T19:30:00.000Z,False,True,False,False,10252,3495,Georgia Dome,2247,Georgia State,fbs,Sun Belt,20,"[0, 3, 3, 14]",0.5179462015256432,1092,1110,2429,Charlotte,fbs,Conference USA,23,"[13, 7, 3, 0]",0.4820537984743568,1500,1482,4.9427680109,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
400764855,2015,1,regular,2015-09-04T23:00:00.000Z,False,True,False,False,32047,3735,Gerald J. Ford Stadium,2567,SMU,fbs,American Athletic,21,"[14, 7, 0, 0]",0.003645725186432551,1147,1132,239,Baylor,fbs,Big 12,56,"[28, 0, 14, 14]",0.9963542748135674,1874,1889,1.80597644569999,,,,CollegeFootballData.com API,2026-08-31T17:32:19.562789+00:00,/games,1.3
