game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
400869651,2016,Michigan State,Furman,2016-09-02,45.0,38.5,6.5,source_variance,,,,
400869503,2016,UConn,Maine,2016-09-01,27.0,27.5,0.5,verified,,,,
400876112,2016,Oklahoma,Auburn,2017-01-03,5.5,2.5,3.0,source_variance,,6.0,,sbro_heuristic_only_unvalidated
400876110,2016,Wisconsin,Western Michigan,2017-01-02,6.5,8.0,1.5,verified,,7.5,,sbro_heuristic_only_unvalidated
400876095,2016,Washington State,Minnesota,2016-12-28,5.5,8.0,2.5,source_variance,,5.5,,sbro_heuristic_only_unvalidated
400868922,2016,Arizona,BYU,2016-09-04,2.5,,,single_source,,,,
400869156,2016,Arizona,Colorado,2016-11-13,16.5,,,single_source,,,,
400869241,2016,Air Force,Colorado State,2016-11-13,6.0,7.0,1.0,verified,,5.0,,sbro_heuristic_only_unvalidated
400868876,2016,Baylor,Northwestern State,2016-09-02,48.5,50.5,2.0,verified,,,,
400869342,2016,Florida International,Indiana,2016-09-01,3.0,10.0,7.0,source_variance,,4.0,,sbro_heuristic_only_unvalidated
400868968,2016,Vanderbilt,South Carolina,2016-09-02,4.0,5.0,1.0,verified,,2.5,,sbro_heuristic_only_unvalidated
400869173,2016,Utah State,Weber State,2016-09-02,21.0,21.0,0.0,verified,,,,
400869347,2016,Western Kentucky,Rice,2016-09-02,14.5,19.5,5.0,source_variance,,16.5,,sbro_heuristic_only_unvalidated
400869258,2016,Georgia State,Ball State,2016-09-02,5.5,6.5,1.0,verified,,1.5,,sbro_heuristic_only_unvalidated
400869348,2016,UTEP,New Mexico State,2016-09-04,3.5,9.5,6.0,source_variance,,3.5,,sbro_heuristic_only_unvalidated
400869351,2016,Florida International,Maryland,2016-09-09,7.0,12.5,5.5,source_variance,,9.5,,sbro_heuristic_only_unvalidated
400869184,2016,Air Force,Georgia State,2016-09-10,23.0,23.5,0.5,verified,,18.0,,sbro_heuristic_only_unvalidated
400869276,2016,Bowling Green,North Dakota,2016-09-10,20.0,18.0,2.0,verified,,,,
400869177,2016,New Mexico,South Dakota,2016-09-02,11.0,17.0,6.0,source_variance,,,,
400869263,2016,Eastern Michigan,Mississippi Valley State,2016-09-02,46.0,39.0,7.0,source_variance,,,,
400869346,2016,Old Dominion,Hampton,2016-09-04,28.0,,,single_source,,,,
400869355,2016,App State,Old Dominion,2016-09-10,21.0,21.0,0.0,verified,,19.0,,sbro_heuristic_only_unvalidated
400869185,2016,Colorado State,UTSA,2016-09-10,10.0,8.5,1.5,verified,,12.0,,sbro_heuristic_only_unvalidated
400876041,2016,Louisiana,Southern Miss,2016-12-18,2.0,6.0,4.0,source_variance,,2.0,,sbro_heuristic_only_unvalidated
400876045,2016,Colorado State,Idaho,2016-12-23,13.0,15.5,2.5,source_variance,,13.0,,sbro_heuristic_only_unvalidated
400876046,2016,Old Dominion,Eastern Michigan,2016-12-23,4.0,5.0,1.0,verified,,3.5,,sbro_heuristic_only_unvalidated
400876049,2016,Middle Tennessee,Hawai'i,2016-12-25,4.5,7.5,3.0,source_variance,,4.5,,sbro_heuristic_only_unvalidated
400876096,2016,Baylor,Boise State,2016-12-28,10.0,7.5,2.5,source_variance,,8.0,,sbro_heuristic_only_unvalidated
400928102,2016,Air Force,South Alabama,2016-12-30,14.0,15.0,1.0,verified,,12.5,,sbro_heuristic_only_unvalidated
400869357,2016,Texas,UTEP,2016-09-10,26.0,31.0,5.0,source_variance,,27.0,,sbro_heuristic_only_unvalidated
400868991,2016,Vanderbilt,Middle Tennessee,2016-09-10,5.0,2.5,2.5,source_variance,,6.5,,sbro_heuristic_only_unvalidated
400869271,2016,Miami (OH),Eastern Illinois,2016-09-10,10.0,10.0,0.0,verified,,,,
400868987,2016,Mississippi State,South Carolina,2016-09-10,9.5,7.5,2.0,verified,,6.5,,sbro_heuristic_only_unvalidated
400869272,2016,Toledo,Maine,2016-09-10,30.0,31.0,1.0,verified,,,,
400869352,2016,Louisiana Tech,South Carolina State,2016-09-10,33.0,34.5,1.5,verified,,,,
400869354,2016,North Texas,Bethune-Cookman,2016-09-10,13.0,10.5,2.5,source_variance,,,,
400869356,2016,Southern Miss,Savannah State,2016-09-10,57.0,56.5,0.5,verified,,,,
400869811,2016,South Alabama,Georgia Southern,2016-09-10,11.5,13.5,2.0,verified,,12.0,,sbro_heuristic_only_unvalidated
400869812,2016,Louisiana,McNeese,2016-09-10,4.5,5.5,1.0,verified,,,,
400868982,2016,Auburn,Arkansas State,2016-09-10,13.0,20.5,7.5,source_conflict,,17.0,,sbro_heuristic_only_unvalidated
400868988,2016,Missouri,Eastern Michigan,2016-09-10,24.5,23.0,1.5,verified,,25.5,,sbro_heuristic_only_unvalidated
400869361,2016,Rice,Baylor,2016-09-17,27.5,34.0,6.5,source_variance,,29.0,,sbro_heuristic_only_unvalidated
