game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
401282221,2021,UAB,Liberty,2021-10-02,3.0,3.0,0.0,verified,2.0,,,cross_validated_vs_cfbd
401310752,2021,Air Force,UNLV,2021-11-26,18.25,18.5,0.25,verified,18.0,18.0,0.0,cross_validated_vs_cfbd
401309910,2021,USC,BYU,2021-11-28,7.75,8.5,0.75,verified,7.0,7.0,0.0,cross_validated_vs_cfbd
401310756,2021,Wyoming,Hawai'i,2021-11-27,12.25,12.5,0.25,verified,10.0,10.5,0.5,cross_validated_vs_cfbd
401310754,2021,Colorado State,Nevada,2021-11-28,3.0,3.0,0.0,verified,6.0,6.5,0.5,cross_validated_vs_cfbd
401309645,2021,Georgia Southern,BYU,2021-11-20,20.0,20.0,0.0,verified,20.0,20.5,0.5,cross_validated_vs_cfbd
401309592,2021,Akron,Kent State,2021-11-20,13.75,14.0,0.25,verified,13.0,12.5,0.5,cross_validated_vs_cfbd
401309644,2021,Coastal Carolina,Texas State,2021-11-20,24.5,24.5,0.0,verified,21.0,21.5,0.5,cross_validated_vs_cfbd
401309643,2021,Georgia State,Arkansas State,2021-11-20,15.75,15.5,0.25,verified,16.0,16.0,0.0,cross_validated_vs_cfbd
401309642,2021,Troy,App State,2021-11-20,9.75,10.0,0.25,verified,10.0,10.0,0.0,cross_validated_vs_cfbd
401309900,2021,Stanford,California,2021-11-21,2.5,2.5,0.0,verified,3.5,3.5,0.0,cross_validated_vs_cfbd
401309906,2021,Utah,Colorado,2021-11-26,24.0,24.0,0.0,verified,24.0,23.5,0.5,cross_validated_vs_cfbd
401282145,2021,Arkansas,Missouri,2021-11-26,14.5,14.5,0.0,verified,14.5,14.0,0.5,cross_validated_vs_cfbd
401309596,2021,Bowling Green,Ohio,2021-11-26,6.5,6.5,0.0,verified,5.5,6.0,0.5,cross_validated_vs_cfbd
401309648,2021,South Alabama,Coastal Carolina,2021-11-26,15.0,15.0,0.0,verified,14.5,14.5,0.0,cross_validated_vs_cfbd
401309905,2021,Washington,Washington State,2021-11-27,1.0,1.0,0.0,verified,1.5,2.5,1.0,cross_validated_vs_cfbd
401282626,2021,Louisville,UCF,2021-09-17,7.0,7.0,0.0,verified,7.5,7.5,0.0,cross_validated_vs_cfbd
401282071,2021,Florida,Alabama,2021-09-18,14.25,14.0,0.25,verified,15.5,13.5,2.0,cross_validated_vs_cfbd
401282072,2021,Georgia,South Carolina,2021-09-18,31.5,31.5,0.0,verified,30.5,30.5,0.0,cross_validated_vs_cfbd
401282070,2021,Penn State,Auburn,2021-09-18,4.5,4.0,0.5,verified,6.5,6.0,0.5,cross_validated_vs_cfbd
401282069,2021,Arkansas,Georgia Southern,2021-09-18,23.0,22.5,0.5,verified,23.0,23.5,0.5,cross_validated_vs_cfbd
401309835,2021,Arizona State,Southern Utah,2021-09-03,45.0,44.0,1.0,verified,45.0,44.5,0.5,cross_validated_vs_cfbd
401310696,2021,New Mexico,Houston Christian,2021-09-03,25.5,25.5,0.0,verified,24.5,22.5,2.0,cross_validated_vs_cfbd
401310694,2021,UNLV,Eastern Washington,2021-09-03,2.0,2.0,0.0,verified,1.0,1.5,0.5,cross_validated_vs_cfbd
401310701,2021,Utah State,North Dakota,2021-09-11,6.5,7.0,0.5,verified,7.0,3.5,3.5,cross_validated_vs_cfbd
401309843,2021,USC,Stanford,2021-09-12,17.25,17.5,0.25,verified,17.5,13.5,4.0,cross_validated_vs_cfbd
401309848,2021,BYU,Utah,2021-09-12,7.0,7.0,0.0,verified,7.0,5.5,1.5,cross_validated_vs_cfbd
401309847,2021,Arizona State,UNLV,2021-09-12,34.25,34.5,0.25,verified,33.5,34.5,1.0,cross_validated_vs_cfbd
401309845,2021,Washington State,Portland State,2021-09-11,31.0,31.0,0.0,verified,31.0,21.5,9.5,cross_validated_vs_cfbd
401310700,2021,New Mexico,New Mexico State,2021-09-11,19.5,18.5,1.0,verified,18.5,21.5,3.0,cross_validated_vs_cfbd
401309846,2021,Arizona,San Diego State,2021-09-12,1.5,1.5,0.0,verified,0.0,1.0,1.0,cross_validated_vs_cfbd
401310702,2021,Fresno State,Cal Poly,2021-09-12,32.0,32.0,0.0,verified,31.5,31.5,0.0,cross_validated_vs_cfbd
401287887,2021,Iowa State,Northern Iowa,2021-09-04,28.75,28.5,0.25,verified,31.5,34.5,3.0,cross_validated_vs_cfbd
401309842,2021,USC,San José State,2021-09-04,14.0,14.0,0.0,verified,16.5,16.5,0.0,cross_validated_vs_cfbd
401287892,2021,Texas,Louisiana,2021-09-04,8.5,9.0,0.5,verified,12.0,16.5,4.5,cross_validated_vs_cfbd
401282174,2021,Navy,Marshall,2021-09-04,3.0,3.0,0.0,verified,2.5,3.5,1.0,cross_validated_vs_cfbd
401309913,2021,BYU,Boise State,2021-10-09,6.25,6.0,0.25,verified,3.5,1.0,2.5,cross_validated_vs_cfbd
401309564,2021,Toledo,Northern Illinois,2021-10-09,13.0,13.0,0.0,verified,12.5,11.0,1.5,cross_validated_vs_cfbd
401309566,2021,Bowling Green,Akron,2021-10-09,14.0,14.0,0.0,verified,13.0,12.0,1.0,cross_validated_vs_cfbd
401309567,2021,Ohio,Central Michigan,2021-10-09,5.0,5.0,0.0,verified,5.0,5.5,0.5,cross_validated_vs_cfbd
401310715,2021,Colorado State,San José State,2021-10-09,3.5,3.5,0.0,verified,1.0,2.0,1.0,cross_validated_vs_cfbd
401309869,2021,Washington State,Oregon State,2021-10-09,4.0,4.0,0.0,verified,3.0,2.5,0.5,cross_validated_vs_cfbd
401309565,2021,Kent State,Buffalo,2021-10-09,7.0,7.0,0.0,verified,5.5,5.0,0.5,cross_validated_vs_cfbd
401309617,2021,Troy,Georgia Southern,2021-10-09,5.5,5.5,0.0,verified,4.0,3.0,1.0,cross_validated_vs_cfbd
401309619,2021,Texas State,South Alabama,2021-10-09,4.0,4.0,0.0,verified,1.0,2.5,1.5,cross_validated_vs_cfbd
401310714,2021,Air Force,Wyoming,2021-10-09,5.5,5.0,0.5,verified,4.0,3.5,0.5,cross_validated_vs_cfbd
401309618,2021,UL Monroe,Georgia State,2021-10-10,16.0,,,single_source,14.5,,,
401309870,2021,Arizona,UCLA,2021-10-10,16.0,16.0,0.0,verified,16.0,16.5,0.5,cross_validated_vs_cfbd
401310723,2021,San José State,San Diego State,2021-10-16,9.75,10.0,0.25,verified,8.0,9.0,1.0,cross_validated_vs_cfbd
401309876,2021,Utah,Arizona State,2021-10-17,1.5,1.0,0.5,verified,1.0,1.5,0.5,cross_validated_vs_cfbd
401309571,2021,Buffalo,Ohio,2021-10-16,7.5,7.5,0.0,verified,10.5,11.5,1.0,cross_validated_vs_cfbd
401309569,2021,Central Michigan,Toledo,2021-10-16,5.0,5.0,0.0,verified,6.0,6.5,0.5,cross_validated_vs_cfbd
401309570,2021,Northern Illinois,Bowling Green,2021-10-16,9.0,,,single_source,9.5,,,
401309572,2021,Western Michigan,Kent State,2021-10-16,6.75,7.0,0.25,verified,7.0,7.5,0.5,cross_validated_vs_cfbd
401309875,2021,Colorado,Arizona,2021-10-16,6.0,6.0,0.0,verified,6.0,6.0,0.0,cross_validated_vs_cfbd
401310721,2021,Wyoming,Fresno State,2021-10-16,3.0,3.0,0.0,verified,3.5,3.0,0.5,cross_validated_vs_cfbd
401310719,2021,New Mexico,Colorado State,2021-10-16,12.25,13.0,0.75,verified,9.5,10.0,0.5,cross_validated_vs_cfbd
401310720,2021,UNLV,Utah State,2021-10-16,7.0,7.5,0.5,verified,7.5,7.5,0.0,cross_validated_vs_cfbd
401309873,2021,Washington State,Stanford,2021-10-16,1.0,1.0,0.0,verified,2.5,2.5,0.0,cross_validated_vs_cfbd
401309874,2021,Washington,UCLA,2021-10-17,1.5,1.5,0.0,verified,1.0,1.5,0.5,cross_validated_vs_cfbd
401310718,2021,Boise State,Air Force,2021-10-17,3.25,3.0,0.25,verified,6.0,6.0,0.0,cross_validated_vs_cfbd
