game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
401013129,2018,Wake Forest,Notre Dame,2018-09-22,6.5,6.5,0.0,verified,,7.0,,sbro_heuristic_only_unvalidated
401012251,2018,Kentucky,Central Michigan,2018-09-01,17.5,17.0,0.5,verified,,17.0,,sbro_heuristic_only_unvalidated
401013448,2018,Liberty,Old Dominion,2018-09-01,5.0,5.0,0.0,verified,,4.5,,sbro_heuristic_only_unvalidated
401014974,2018,South Alabama,Louisiana Tech,2018-09-01,10.5,11.0,0.5,verified,,10.0,,sbro_heuristic_only_unvalidated
401021654,2018,Louisiana,Grambling,2018-09-01,14.0,13.5,0.5,verified,,,,
401012259,2018,Vanderbilt,Middle Tennessee,2018-09-01,3.0,3.0,0.0,verified,,6.5,,sbro_heuristic_only_unvalidated
401032056,2018,Eastern Michigan,Georgia Southern,2018-12-15,2.5,2.5,0.0,verified,,0.0,,sbro_heuristic_only_unvalidated
401020677,2018,Kent State,Howard,2018-09-08,9.5,7.5,2.0,verified,,,,
401020678,2018,Akron,Morgan State,2018-09-08,42.5,42.5,0.0,verified,,,,
401012269,2018,Tennessee,East Tennessee State,2018-09-08,37.0,36.5,0.5,verified,,,,
401012873,2018,Bowling Green,Maryland,2018-09-08,14.0,14.0,0.0,verified,,14.0,,sbro_heuristic_only_unvalidated
401014990,2018,Coastal Carolina,UAB,2018-09-08,9.0,8.5,0.5,verified,,9.0,,sbro_heuristic_only_unvalidated
401021657,2018,Texas State,Texas Southern,2018-09-08,34.0,33.5,0.5,verified,,,,
401012254,2018,Mississippi State,Stephen F. Austin,2018-09-01,47.5,47.5,0.0,verified,,,,
401021652,2018,Arkansas State,Southeast Missouri State,2018-09-01,32.5,32.5,0.0,verified,,,,
401020676,2018,Toledo,VMI,2018-09-01,48.5,48.5,0.0,verified,,,,
401012281,2018,Tennessee,UTEP,2018-09-15,33.5,33.5,0.0,verified,,30.0,,sbro_heuristic_only_unvalidated
401020679,2018,Northern Illinois,Central Michigan,2018-09-15,13.75,,,single_source,,,,
401020681,2018,Bowling Green,Eastern Kentucky,2018-09-15,14.0,14.0,0.0,verified,,,,
401012278,2018,Mississippi State,Louisiana,2018-09-15,34.0,34.0,0.0,verified,,32.5,,sbro_heuristic_only_unvalidated
401020682,2018,Buffalo,Eastern Michigan,2018-09-15,3.0,2.5,0.5,verified,,3.0,,sbro_heuristic_only_unvalidated
401020680,2018,Western Michigan,Delaware State,2018-09-15,47.0,47.0,0.0,verified,,,,
401021660,2018,South Alabama,Texas State,2018-09-15,9.5,9.5,0.0,verified,,10.0,,sbro_heuristic_only_unvalidated
401020686,2018,Georgia State,Western Michigan,2018-09-22,8.25,8.5,0.25,verified,,6.5,,sbro_heuristic_only_unvalidated
401015000,2018,Ball State,Western Kentucky,2018-09-22,3.0,3.0,0.0,verified,,3.0,,sbro_heuristic_only_unvalidated
401020811,2018,Bowling Green,Miami (OH),2018-09-22,6.5,6.5,0.0,verified,,4.5,,sbro_heuristic_only_unvalidated
401013360,2018,Massachusetts,Charlotte,2018-09-22,6.0,5.5,0.5,verified,,10.0,,sbro_heuristic_only_unvalidated
401021661,2018,App State,Gardner-Webb,2018-09-22,45.0,45.0,0.0,verified,,,,
401012291,2018,Vanderbilt,South Carolina,2018-09-22,1.5,1.5,0.0,verified,,1.0,,sbro_heuristic_only_unvalidated
401013450,2018,Liberty,North Texas,2018-09-22,11.0,10.5,0.5,verified,,14.0,,sbro_heuristic_only_unvalidated
401021663,2018,Louisiana,Coastal Carolina,2018-09-22,3.0,3.0,0.0,verified,,2.5,,sbro_heuristic_only_unvalidated
401021666,2018,Georgia Southern,Arkansas State,2018-09-29,3.0,3.0,0.0,verified,,3.5,,sbro_heuristic_only_unvalidated
401012279,2018,Purdue,Missouri,2018-09-15,5.5,5.0,0.5,verified,,7.5,,sbro_heuristic_only_unvalidated
401013063,2018,TCU,Kansas State,2018-11-03,10.0,10.0,0.0,verified,,9.0,,sbro_heuristic_only_unvalidated
401013074,2018,TCU,Ohio State,2018-09-16,12.5,13.0,0.5,verified,,10.0,,sbro_heuristic_only_unvalidated
401013156,2018,Pittsburgh,Duke,2018-10-27,3.0,,,single_source,,,,
401021671,2018,Texas State,Louisiana,2018-10-06,3.0,3.0,0.0,verified,,3.5,,sbro_heuristic_only_unvalidated
401013441,2018,New Mexico State,Liberty,2018-10-07,3.0,3.5,0.5,verified,,3.0,,sbro_heuristic_only_unvalidated
401012762,2018,Oregon State,Washington State,2018-10-07,18.5,19.0,0.5,verified,,16.0,,sbro_heuristic_only_unvalidated
401021673,2018,Texas State,Georgia Southern,2018-10-11,17.5,17.0,0.5,verified,,17.5,,sbro_heuristic_only_unvalidated
401020756,2018,Buffalo,Akron,2018-10-13,12.0,11.5,0.5,verified,,9.0,,sbro_heuristic_only_unvalidated
401020759,2018,Eastern Michigan,Toledo,2018-10-13,2.0,2.0,0.0,verified,,1.5,,sbro_heuristic_only_unvalidated
401020810,2018,Miami (OH),Kent State,2018-10-13,11.0,11.5,0.5,verified,,12.5,,sbro_heuristic_only_unvalidated
401020757,2018,Central Michigan,Ball State,2018-10-13,2.5,2.5,0.0,verified,,0.0,,sbro_heuristic_only_unvalidated
401020760,2018,Bowling Green,Western Michigan,2018-10-13,14.5,15.0,0.5,verified,,15.5,,sbro_heuristic_only_unvalidated
401020758,2018,Northern Illinois,Ohio,2018-10-13,5.5,,,single_source,,,,
