game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
400548092,2014,Central Michigan,Chattanooga,2014-08-28,11.5,10.5,1.0,verified,,10.5,,sbro_heuristic_only_unvalidated
400547839,2014,Kansas State,Stephen F. Austin,2014-08-30,43.0,41.5,1.5,verified,,,,
400548257,2014,Oregon,South Dakota,2014-08-31,51.0,54.0,3.0,source_variance,,,,
400548401,2014,Missouri,South Dakota State,2014-08-30,14.0,25.0,11.0,source_conflict,,,,
400547751,2014,Duke,Elon,2014-08-30,38.0,38.0,0.0,verified,,,,
400548090,2014,Akron,Howard,2014-08-28,21.0,25.5,4.5,source_variance,,21.5,,sbro_heuristic_only_unvalidated
400547904,2014,Illinois,Youngstown State,2014-08-30,9.0,17.5,8.5,source_conflict,,,,
400547916,2014,Indiana,Indiana State,2014-08-30,27.0,33.0,6.0,source_variance,,,,
400547928,2014,Iowa,Northern Iowa,2014-08-30,19.0,17.5,1.5,verified,,,,
400548091,2014,Northern Illinois,Presbyterian,2014-08-28,38.0,,,single_source,,,,
400547795,2014,North Carolina,Liberty,2014-08-30,26.0,31.5,5.5,source_variance,,,,
400548255,2014,Arizona State,Weber State,2014-08-29,45.5,46.0,0.5,verified,,46.0,,sbro_heuristic_only_unvalidated
400548256,2014,Utah,Idaho State,2014-08-28,41.0,40.5,0.5,verified,,41.0,,sbro_heuristic_only_unvalidated
400548404,2014,New Mexico State,Cal Poly,2014-08-29,7.0,7.5,0.5,verified,,7.0,,sbro_heuristic_only_unvalidated
400548259,2014,Stanford,UC Davis,2014-08-30,47.0,42.5,4.5,source_variance,,,,
400548007,2014,Old Dominion,Hampton,2014-08-30,22.0,24.5,2.5,source_variance,,,,
400547825,2014,Virginia Tech,William & Mary,2014-08-30,23.0,22.0,1.0,verified,,,,
400547772,2014,Georgia Tech,Wofford,2014-08-30,28.0,28.0,0.0,verified,,,,
400548400,2014,Kentucky,UT Martin,2014-08-30,20.0,21.5,1.5,verified,,,,
400548179,2014,Wyoming,Montana,2014-08-30,3.5,6.0,2.5,source_variance,,,,
400548258,2014,Oregon State,Portland State,2014-08-30,35.0,32.5,2.5,source_variance,,,,
400548095,2014,Eastern Michigan,Morgan State,2014-08-30,20.0,16.5,3.5,source_variance,,,,
400550418,2014,Georgia Southern,App State,2014-09-25,17.0,17.0,0.0,verified,,15.0,,sbro_heuristic_only_unvalidated
400548036,2014,Old Dominion,Middle Tennessee,2014-09-27,1.0,1.0,0.0,verified,,3.5,,sbro_heuristic_only_unvalidated
400548200,2014,New Mexico,Fresno State,2014-09-27,3.0,6.5,3.5,source_variance,,6.0,,sbro_heuristic_only_unvalidated
400547764,2014,NC State,Florida State,2014-09-27,23.0,16.0,7.0,source_variance,,23.0,,sbro_heuristic_only_unvalidated
400548035,2014,Auburn,Louisiana Tech,2014-09-27,33.0,32.0,1.0,verified,,33.0,,sbro_heuristic_only_unvalidated
400548382,2014,Texas A&M,Arkansas,2014-09-27,12.5,9.0,3.5,source_variance,,10.0,,sbro_heuristic_only_unvalidated
400547860,2014,Iowa State,Baylor,2014-09-28,22.0,21.0,1.0,verified,,21.5,,sbro_heuristic_only_unvalidated
400547958,2014,Michigan State,Ohio State,2014-11-09,2.0,4.5,2.5,source_variance,,2.0,,sbro_heuristic_only_unvalidated
400548302,2014,Arizona State,Notre Dame,2014-11-08,1.0,3.0,2.0,verified,,2.0,,sbro_heuristic_only_unvalidated
400547888,2014,Oklahoma,Baylor,2014-11-08,3.0,5.5,2.5,source_variance,,4.0,,sbro_heuristic_only_unvalidated
400548241,2014,Utah State,New Mexico,2014-11-15,16.0,20.0,4.0,source_variance,,16.0,,sbro_heuristic_only_unvalidated
400548340,2014,Tennessee,Kentucky,2014-11-15,6.5,11.0,4.5,source_variance,,7.5,,sbro_heuristic_only_unvalidated
400548240,2014,San José State,Hawai'i,2014-11-15,10.0,10.0,0.0,verified,,9.5,,sbro_heuristic_only_unvalidated
