game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
401237129,2020,Florida,Arkansas,2020-11-15,17.0,17.0,0.0,verified,,17.0,,sbro_heuristic_only_unvalidated
401249018,2020,Air Force,New Mexico,2020-11-21,8.0,9.0,1.0,verified,,10.0,,sbro_heuristic_only_unvalidated
401237135,2020,Alabama,Kentucky,2020-11-21,31.5,32.0,0.5,verified,,29.0,,sbro_heuristic_only_unvalidated
401247326,2020,Ohio State,Indiana,2020-11-21,21.0,21.0,0.0,verified,,19.5,,sbro_heuristic_only_unvalidated
401237136,2020,Arkansas,LSU,2020-11-21,1.5,1.5,0.0,verified,,1.0,,sbro_heuristic_only_unvalidated
401247314,2020,Rutgers,Illinois,2020-11-14,5.5,6.0,0.5,verified,,5.5,,sbro_heuristic_only_unvalidated
401249410,2020,Utah,USC,2020-11-22,1.0,,,single_source,,3.0,,sbro_heuristic_only_unvalidated
401249415,2020,Oregon,UCLA,2020-11-21,18.0,17.5,0.5,verified,,14.0,,sbro_heuristic_only_unvalidated
401249872,2020,Central Michigan,Western Michigan,2020-11-19,1.0,1.0,0.0,verified,,1.0,,sbro_heuristic_only_unvalidated
401249871,2020,Eastern Michigan,Toledo,2020-11-19,6.75,6.5,0.25,verified,,7.0,,sbro_heuristic_only_unvalidated
401261674,2020,Florida Atlantic,Massachusetts,2020-11-21,34.0,34.0,0.0,verified,,30.0,,sbro_heuristic_only_unvalidated
401236027,2020,Oklahoma,Oklahoma State,2020-11-22,6.5,7.0,0.5,verified,,9.5,,sbro_heuristic_only_unvalidated
401249413,2020,Washington,Arizona,2020-11-22,12.0,11.5,0.5,verified,,10.5,,sbro_heuristic_only_unvalidated
401212487,2020,Tulane,SMU,2020-10-16,6.5,6.5,0.0,verified,,6.5,,sbro_heuristic_only_unvalidated
401212541,2020,Cincinnati,Austin Peay,2020-09-19,39.5,40.5,1.0,verified,,34.5,,sbro_heuristic_only_unvalidated
401212544,2020,Cincinnati,Houston,2020-11-07,13.0,11.5,1.5,verified,,10.5,,sbro_heuristic_only_unvalidated
401234565,2020,North Carolina,Syracuse,2020-09-12,24.25,23.5,0.75,verified,,19.5,,sbro_heuristic_only_unvalidated
401234567,2020,Duke,Boston College,2020-09-19,3.5,4.0,0.5,verified,,6.0,,sbro_heuristic_only_unvalidated
401234571,2020,Pittsburgh,Syracuse,2020-09-19,21.25,21.0,0.25,verified,,20.5,,sbro_heuristic_only_unvalidated
401234576,2020,Navy,BYU,2020-09-08,1.0,1.5,0.5,verified,,3.0,,sbro_heuristic_only_unvalidated
401234594,2020,Syracuse,Georgia Tech,2020-09-26,7.5,7.5,0.0,verified,,7.0,,sbro_heuristic_only_unvalidated
401234595,2020,Pittsburgh,Louisville,2020-09-26,2.75,3.0,0.25,verified,,3.5,,sbro_heuristic_only_unvalidated
401234600,2020,Pittsburgh,NC State,2020-10-03,14.0,14.0,0.0,verified,,13.5,,sbro_heuristic_only_unvalidated
401234615,2020,Syracuse,Liberty,2020-10-17,3.0,3.0,0.0,verified,,2.5,,sbro_heuristic_only_unvalidated
401234617,2020,Boston College,Georgia Tech,2020-10-24,3.5,3.5,0.0,verified,,3.5,,sbro_heuristic_only_unvalidated
401234625,2020,Duke,Charlotte,2020-10-31,10.5,11.0,0.5,verified,,11.0,,sbro_heuristic_only_unvalidated
401234629,2020,Syracuse,Wake Forest,2020-10-31,12.5,14.0,1.5,verified,,11.5,,sbro_heuristic_only_unvalidated
401234637,2020,Boston College,Notre Dame,2020-11-14,13.0,13.0,0.0,verified,,13.0,,sbro_heuristic_only_unvalidated
401234649,2020,Boston College,Louisville,2020-11-28,1.0,1.5,0.5,verified,,0.0,,sbro_heuristic_only_unvalidated
401234655,2020,Syracuse,NC State,2020-11-28,17.0,17.0,0.0,verified,,14.0,,sbro_heuristic_only_unvalidated
401236030,2020,Kansas,TCU,2020-11-29,23.0,23.5,0.5,verified,,24.0,,sbro_heuristic_only_unvalidated
401236221,2020,Iowa State,Louisiana,2020-09-12,12.25,12.0,0.25,verified,,11.0,,sbro_heuristic_only_unvalidated
401236253,2020,App State,Campbell,2020-09-26,33.5,32.5,1.0,verified,,34.0,,sbro_heuristic_only_unvalidated
401236658,2020,Kansas,Coastal Carolina,2020-09-13,6.25,4.5,1.75,verified,,3.5,,sbro_heuristic_only_unvalidated
401240039,2020,South Florida,The Citadel,2020-09-12,17.5,17.0,0.5,verified,,18.5,,sbro_heuristic_only_unvalidated
401240233,2020,Pittsburgh,Austin Peay,2020-09-12,30.75,,,single_source,,,,
401240996,2020,Cincinnati,Army,2020-09-26,12.25,12.5,0.25,verified,,11.0,,sbro_heuristic_only_unvalidated
401241303,2020,Boston College,Texas State,2020-09-26,21.5,21.5,0.0,verified,,17.5,,sbro_heuristic_only_unvalidated
401247297,2020,Wisconsin,Illinois,2020-10-24,20.25,20.5,0.25,verified,,16.0,,sbro_heuristic_only_unvalidated
401247321,2020,Nebraska,Illinois,2020-11-21,16.75,16.5,0.25,verified,,14.0,,sbro_heuristic_only_unvalidated
401247323,2020,Northwestern,Wisconsin,2020-11-21,7.5,7.0,0.5,verified,,6.5,,sbro_heuristic_only_unvalidated
401247333,2020,Michigan,Penn State,2020-11-28,1.0,,,single_source,,3.5,,sbro_heuristic_only_unvalidated
401247345,2020,Nebraska,Minnesota,2020-12-12,10.0,9.5,0.5,verified,,9.0,,sbro_heuristic_only_unvalidated
401248997,2020,Boise State,Utah State,2020-10-24,17.0,17.0,0.0,verified,,14.5,,sbro_heuristic_only_unvalidated
401249003,2020,New Mexico,San José State,2020-10-31,11.5,13.5,2.0,verified,,13.5,,sbro_heuristic_only_unvalidated
401249007,2020,Hawai'i,New Mexico,2020-11-08,14.75,14.0,0.75,verified,,16.5,,sbro_heuristic_only_unvalidated
401249010,2020,Colorado State,Wyoming,2020-11-06,3.75,3.0,0.75,verified,,3.5,,sbro_heuristic_only_unvalidated
401249013,2020,Utah State,Fresno State,2020-11-14,11.0,10.5,0.5,verified,,12.0,,sbro_heuristic_only_unvalidated
401249014,2020,San Diego State,Hawai'i,2020-11-14,10.0,10.0,0.0,verified,,9.5,,sbro_heuristic_only_unvalidated
401249016,2020,San José State,UNLV,2020-11-15,17.0,17.0,0.0,verified,,16.0,,sbro_heuristic_only_unvalidated
401249031,2020,San Diego State,Colorado State,2020-12-06,7.5,7.5,0.0,verified,,7.5,,sbro_heuristic_only_unvalidated
401249033,2020,San José State,Hawai'i,2020-12-05,4.25,3.0,1.25,verified,,3.0,,sbro_heuristic_only_unvalidated
401249038,2020,Hawai'i,UNLV,2020-12-13,19.0,19.5,0.5,verified,,21.5,,sbro_heuristic_only_unvalidated
401249400,2020,USC,Arizona State,2020-11-07,11.25,11.5,0.25,verified,,10.5,,sbro_heuristic_only_unvalidated
401249405,2020,Washington State,Oregon,2020-11-15,10.75,10.5,0.25,verified,,7.0,,sbro_heuristic_only_unvalidated
401249411,2020,Oregon State,California,2020-11-21,1.0,1.0,0.0,verified,,4.5,,sbro_heuristic_only_unvalidated
401249421,2020,UCLA,Arizona,2020-11-29,8.75,8.5,0.25,verified,,9.5,,sbro_heuristic_only_unvalidated
401249425,2020,Arizona State,UCLA,2020-12-06,2.75,2.0,0.75,verified,,3.0,,sbro_heuristic_only_unvalidated
401249426,2020,Arizona,Colorado,2020-12-06,9.5,9.5,0.0,verified,,7.0,,sbro_heuristic_only_unvalidated
401249428,2020,Colorado,Utah,2020-12-12,2.75,2.5,0.25,verified,,2.5,,sbro_heuristic_only_unvalidated
401249429,2020,Arizona,Arizona State,2020-12-12,8.5,7.5,1.0,verified,,9.5,,sbro_heuristic_only_unvalidated
401249867,2020,Kent State,Akron,2020-11-18,26.0,26.0,0.0,verified,,24.0,,sbro_heuristic_only_unvalidated
401249873,2020,Toledo,Ball State,2020-11-28,10.0,10.0,0.0,verified,,8.5,,sbro_heuristic_only_unvalidated
401249875,2020,Western Michigan,Northern Illinois,2020-11-28,18.75,19.0,0.25,verified,,18.5,,sbro_heuristic_only_unvalidated
401249878,2020,Central Michigan,Ball State,2020-12-05,2.75,3.0,0.25,verified,,1.0,,sbro_heuristic_only_unvalidated
401249879,2020,Western Michigan,Eastern Michigan,2020-12-05,13.5,13.5,0.0,verified,,13.5,,sbro_heuristic_only_unvalidated
401249880,2020,Northern Illinois,Toledo,2020-12-05,9.75,9.5,0.25,verified,,7.5,,sbro_heuristic_only_unvalidated
401249881,2020,Akron,Bowling Green,2020-12-05,2.75,2.5,0.25,verified,,2.5,,sbro_heuristic_only_unvalidated
401249892,2020,Akron,Miami (OH),2020-11-28,14.0,14.0,0.0,verified,,14.0,,sbro_heuristic_only_unvalidated
401261454,2020,UCLA,California,2020-11-15,3.5,3.5,0.0,verified,,2.0,,sbro_heuristic_only_unvalidated
401269376,2020,UCLA,Stanford,2020-12-20,6.75,7.5,0.75,verified,,6.0,,sbro_heuristic_only_unvalidated
401269378,2020,Oregon State,Arizona State,2020-12-20,7.5,8.0,0.5,verified,,9.0,,sbro_heuristic_only_unvalidated
401269381,2020,Penn State,Illinois,2020-12-19,15.5,16.0,0.5,verified,,14.5,,sbro_heuristic_only_unvalidated
401207136,2020,Florida Atlantic,Charlotte,2020-10-03,5.0,5.0,0.0,verified,,7.0,,sbro_heuristic_only_unvalidated
401209818,2020,BYU,North Alabama,2020-11-21,50.0,52.0,2.0,verified,,48.5,,sbro_heuristic_only_unvalidated
401234570,2020,NC State,Wake Forest,2020-09-20,2.0,2.0,0.0,verified,,3.0,,sbro_heuristic_only_unvalidated
401237353,2020,Marshall,Eastern Kentucky,2020-09-05,25.75,27.0,1.25,verified,,23.5,,sbro_heuristic_only_unvalidated
401247299,2020,Michigan State,Rutgers,2020-10-24,9.5,9.5,0.0,verified,,16.0,,sbro_heuristic_only_unvalidated
401247329,2020,Indiana,Maryland,2020-11-28,11.25,12.0,0.75,verified,,15.0,,sbro_heuristic_only_unvalidated
401249034,2020,New Mexico,Wyoming,2020-12-06,15.25,16.0,0.75,verified,,18.0,,sbro_heuristic_only_unvalidated
401249036,2020,New Mexico,Fresno State,2020-12-13,14.5,15.0,0.5,verified,,11.5,,sbro_heuristic_only_unvalidated
401256199,2020,Northwestern,Auburn,2021-01-01,3.75,3.5,0.25,verified,,2.5,,sbro_heuristic_only_unvalidated
401207134,2020,UTSA,Middle Tennessee,2020-09-26,6.0,5.5,0.5,verified,,6.5,,sbro_heuristic_only_unvalidated
401235996,2020,Oklahoma,Kansas State,2020-09-26,27.75,27.5,0.25,verified,,28.0,,sbro_heuristic_only_unvalidated
401236952,2020,Ole Miss,Florida,2020-09-26,14.0,,,single_source,,,,
401240282,2020,Wake Forest,Campbell,2020-10-02,34.5,34.5,0.0,verified,,33.0,,sbro_heuristic_only_unvalidated
401212523,2020,Houston,Tulane,2020-10-08,6.5,6.5,0.0,verified,,4.5,,sbro_heuristic_only_unvalidated
401234601,2020,Georgia Tech,Louisville,2020-10-09,4.75,4.0,0.75,verified,,5.0,,sbro_heuristic_only_unvalidated
401234604,2020,Clemson,Miami,2020-10-10,14.25,14.5,0.25,verified,,16.0,,sbro_heuristic_only_unvalidated
401215308,2020,Troy,Texas State,2020-10-10,7.0,7.0,0.0,verified,,7.5,,sbro_heuristic_only_unvalidated
401212515,2020,Navy,Temple,2020-10-10,4.0,4.0,0.0,verified,,1.5,,sbro_heuristic_only_unvalidated
401237093,2020,Alabama,Texas A&M,2020-10-03,18.25,18.0,0.25,verified,,17.0,,sbro_heuristic_only_unvalidated
401212531,2020,UCF,Tulsa,2020-10-03,20.75,20.5,0.25,verified,,20.0,,sbro_heuristic_only_unvalidated
401212486,2020,SMU,Memphis,2020-10-03,2.25,1.5,0.75,verified,,0.0,,sbro_heuristic_only_unvalidated
401207141,2020,UAB,UTSA,2020-10-03,21.5,21.5,0.0,verified,,19.0,,sbro_heuristic_only_unvalidated
401207139,2020,North Texas,Southern Miss,2020-10-03,1.5,1.5,0.0,verified,,2.5,,sbro_heuristic_only_unvalidated
401237096,2020,Florida,South Carolina,2020-10-03,14.75,15.0,0.25,verified,,18.5,,sbro_heuristic_only_unvalidated
401237095,2020,Georgia,Auburn,2020-10-03,7.25,7.0,0.25,verified,,7.5,,sbro_heuristic_only_unvalidated
401237094,2020,Mississippi State,Arkansas,2020-10-03,16.75,17.0,0.25,verified,,17.0,,sbro_heuristic_only_unvalidated
401237098,2020,Vanderbilt,LSU,2020-10-03,21.25,21.0,0.25,verified,,19.5,,sbro_heuristic_only_unvalidated
