game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
401110840,2019,Tennessee,UAB,2019-11-02,13.75,13.0,0.75,verified,,10.0,,sbro_heuristic_only_unvalidated
401114301,2019,Western Kentucky,Florida Atlantic,2019-11-02,0.5,1.0,0.5,verified,,3.0,,sbro_heuristic_only_unvalidated
401119293,2019,Bowling Green,Akron,2019-11-02,4.25,4.0,0.25,verified,,6.0,,sbro_heuristic_only_unvalidated
401117896,2019,East Carolina,Cincinnati,2019-11-02,24.5,24.0,0.5,verified,,23.0,,sbro_heuristic_only_unvalidated
401112497,2019,Florida State,Miami,2019-11-02,3.0,3.0,0.0,verified,,4.5,,sbro_heuristic_only_unvalidated
401119294,2019,Eastern Michigan,Buffalo,2019-11-02,1.75,1.0,0.75,verified,,1.5,,sbro_heuristic_only_unvalidated
401110838,2019,Florida,Georgia,2019-11-02,6.5,6.0,0.5,verified,,3.5,,sbro_heuristic_only_unvalidated
401117897,2019,Memphis,SMU,2019-11-02,6.5,6.0,0.5,verified,,3.0,,sbro_heuristic_only_unvalidated
401117895,2019,UCF,Houston,2019-11-02,21.75,23.0,1.25,verified,,21.5,,sbro_heuristic_only_unvalidated
401112208,2019,Maryland,Michigan,2019-11-02,21.75,21.5,0.25,verified,,16.5,,sbro_heuristic_only_unvalidated
401112153,2019,Illinois,Rutgers,2019-11-02,18.75,18.5,0.25,verified,,20.0,,sbro_heuristic_only_unvalidated
401110841,2019,Texas A&M,UTSA,2019-11-02,38.0,38.5,0.5,verified,,38.0,,sbro_heuristic_only_unvalidated
401117538,2019,Colorado State,UNLV,2019-11-02,7.5,8.0,0.5,verified,,9.5,,sbro_heuristic_only_unvalidated
401114331,2019,Air Force,Army,2019-11-02,17.0,17.0,0.0,verified,,15.5,,sbro_heuristic_only_unvalidated
401112243,2019,Purdue,Nebraska,2019-11-02,4.25,4.0,0.25,verified,,2.0,,sbro_heuristic_only_unvalidated
401112165,2019,Indiana,Northwestern,2019-11-02,8.25,8.5,0.25,verified,,11.5,,sbro_heuristic_only_unvalidated
401114171,2019,Arizona,Oregon State,2019-11-02,5.0,4.5,0.5,verified,,7.0,,sbro_heuristic_only_unvalidated
401112499,2019,North Carolina,Virginia,2019-11-02,1.0,,,single_source,,2.0,,sbro_heuristic_only_unvalidated
401117894,2019,UConn,Navy,2019-11-02,26.5,26.0,0.5,verified,,25.5,,sbro_heuristic_only_unvalidated
401112500,2019,Wake Forest,NC State,2019-11-02,8.25,8.0,0.25,verified,,7.5,,sbro_heuristic_only_unvalidated
401119295,2019,Central Michigan,Northern Illinois,2019-11-02,1.5,1.5,0.0,verified,,2.0,,sbro_heuristic_only_unvalidated
401112501,2019,Notre Dame,Virginia Tech,2019-11-02,17.25,17.5,0.25,verified,,17.0,,sbro_heuristic_only_unvalidated
401112104,2019,Kansas,Kansas State,2019-11-02,5.25,5.0,0.25,verified,,6.5,,sbro_heuristic_only_unvalidated
401121963,2019,Louisiana,Texas State,2019-11-02,23.25,23.0,0.25,verified,,22.0,,sbro_heuristic_only_unvalidated
401114198,2019,USC,Oregon,2019-11-03,3.75,3.5,0.25,verified,,4.5,,sbro_heuristic_only_unvalidated
401114299,2019,Charlotte,Middle Tennessee,2019-11-02,4.25,4.5,0.25,verified,,2.5,,sbro_heuristic_only_unvalidated
401112127,2019,Oklahoma State,TCU,2019-11-02,1.25,1.5,0.25,verified,,4.0,,sbro_heuristic_only_unvalidated
401117535,2019,San José State,Boise State,2019-11-03,16.5,16.5,0.0,verified,,16.5,,sbro_heuristic_only_unvalidated
401114227,2019,Washington,Utah,2019-11-02,3.25,3.0,0.25,verified,,1.0,,sbro_heuristic_only_unvalidated
401112495,2019,Syracuse,Boston College,2019-11-02,3.0,3.0,0.0,verified,,2.0,,sbro_heuristic_only_unvalidated
401110836,2019,Arkansas,Mississippi State,2019-11-02,7.0,7.0,0.0,verified,,7.0,,sbro_heuristic_only_unvalidated
401114189,2019,UCLA,Colorado,2019-11-03,6.5,6.5,0.0,verified,,4.0,,sbro_heuristic_only_unvalidated
